#framerate (fps):	2.00

#Frame	PersID	x/m	y/m	z/m	Individual density(m^(-2))	Individual velocity(m/s)	Voronoi Polygon
00000	 23	 2.8645	 12.9900	 1.2000	 0.5708	 0.3319	 (((38645.000000, 129900.000000), (37564.642472, 126575.001426), (20491.439105, 124217.244724), (19473.353727, 127350.589372), (30816.909804, 139410.565160), (31735.169957, 139410.565159), (36735.169948, 135777.852517), (38645.000000, 129900.000000)))
00000	 13	 2.9880	 12.0957	 1.2000	 0.4331	 0.5632	 (((20960.358432, 124282.001361), (38033.560840, 126639.755411), (39880.000000, 120956.999928), (37970.169906, 115079.147425), (32970.169889, 111446.434819), (26789.830008, 111446.434853), (21789.830031, 115079.147512), (19880.000000, 120957.000036), (20960.358432, 124282.001361)))
00000	 33	 3.1179	 19.7228	 1.2000	 0.6143	 0.6200	 (((21473.073530, 198132.003158), (22079.892974, 200000.000245), (37976.646718, 199999.989021), (36691.040528, 189477.033662), (34269.169889, 187717.434819), (28088.830008, 187717.434853), (25856.284715, 189339.486717), (21473.073530, 198132.003158)))
00000	 4	 3.7587	 1.6758	 1.2000	 0.4083	 0.5530	 (((40677.169889, 7247.434819), (34496.830008, 7247.434853), (29496.830031, 10880.147512), (27587.000000, 16758.000036), (29496.830073, 22635.852546), (34496.830077, 26268.565170), (37167.826783, 26268.565165), (43105.896779, 23246.372964), (43966.035118, 18960.714083), (42669.510081, 8694.954680), (40677.169889, 7247.434819)))
00000	 14	 4.0589	 8.3629	 1.2000	 0.3432	 0.5936	 (((49846.699763, 81344.434761), (48679.169906, 77751.147425), (43679.169889, 74118.434819), (37498.830008, 74118.434853), (32498.830031, 77751.147512), (30589.000000, 83629.000036), (32498.830073, 89506.852546), (37498.830077, 93139.565170), (43679.169957, 93139.565159), (48679.169948, 89506.852517), (49483.951605, 87029.989259), (49846.699763, 81344.434761)))
00000	 49	 4.3907	 19.5673	 1.2000	 0.4999	 0.7058	 (((36655.436036, 189185.603448), (37976.649524, 200000.011991), (52501.073583, 199999.996576), (53907.000000, 195672.999928), (52352.908072, 190889.996898), (50673.953302, 188833.774301), (46997.169889, 186162.434819), (40816.830008, 186162.434853), (36655.436036, 189185.603448)))
00000	 25	 4.4372	 3.9608	 1.2000	 0.6144	 0.5429	 (((34372.000000, 39608.000036), (36281.830073, 45485.852546), (38831.825122, 47338.532386), (53417.769634, 41332.921871), (54140.185032, 38896.208769), (49014.208054, 35954.367168), (35943.316417, 34771.985303), (34372.000000, 39608.000036)))
00000	 38	 4.5103	 3.1527	 1.2000	 0.8257	 0.4017	 (((36741.101565, 26485.441750), (35103.000000, 31527.000036), (36163.841818, 34791.935400), (49014.208054, 35954.367168), (45519.024442, 24359.390074), (43105.896779, 23246.372964), (36741.101565, 26485.441750)))
00000	 5	 4.8209	 4.8927	 1.2000	 0.4586	 0.5037	 (((38708.645413, 47389.249553), (38209.000000, 48927.000036), (40118.830073, 54804.852546), (45118.830077, 58437.565170), (51299.169957, 58437.565159), (56299.169948, 54804.852517), (56898.033575, 52961.739789), (53417.769634, 41332.921871), (38708.645413, 47389.249553)))
00000	 43	 4.9494	 15.5780	 1.2000	 0.5317	 0.3717	 (((45687.922430, 146789.572160), (41403.830031, 149902.147512), (39494.000000, 155780.000036), (41403.830073, 161657.852546), (46403.830077, 165290.565170), (50497.350603, 165290.565162), (54868.768196, 153471.989726), (45687.922430, 146789.572160)))
00000	 20	 4.9597	 1.5241	 1.2000	 0.6335	 0.5068	 (((59465.559775, 14836.468522), (57687.169906, 9363.147425), (52687.169889, 5730.434819), (46506.830008, 5730.434853), (42648.941680, 8533.354819), (43966.035118, 18960.714083), (59465.559775, 14836.468522)))
00000	 40	 4.9827	 3.0103	 1.2000	 0.7100	 0.8307	 (((45519.024442, 24359.390074), (49014.208054, 35954.367168), (54008.525994, 38820.648532), (55908.528229, 37440.216153), (58003.441011, 35715.337486), (59827.000000, 30102.999928), (58299.574450, 25402.067567), (45519.024442, 24359.390074)))
00000	 19	 5.0701	 1.9390	 1.2000	 0.7765	 0.6702	 (((59240.893426, 14896.254066), (43966.035118, 18960.714083), (43105.896779, 23246.372964), (45519.024442, 24359.390074), (58575.458600, 25424.575986), (58791.169948, 25267.852517), (60701.000000, 19389.999928), (59240.893426, 14896.254066)))
00000	 46	 5.5413	 14.7648	 1.2000	 0.5321	 0.5950	 (((64727.567775, 146132.596715), (62354.340839, 140935.474261), (58503.169889, 138137.434819), (52322.830008, 138137.434853), (47322.830031, 141770.147512), (45691.155713, 146791.924767), (54868.768196, 153471.989726), (54921.399759, 153462.317951), (64727.567775, 146132.596715)))
00000	 26	 5.7448	 15.8722	 1.2000	 1.0059	 0.3720	 (((50457.354519, 165398.703812), (53647.502823, 167716.482213), (64746.456636, 161132.356233), (54921.399759, 153462.317951), (54868.768196, 153471.989726), (50457.354519, 165398.703812)))
00000	 36	 5.8728	 18.3571	 1.2000	 0.3590	 0.4617	 (((66903.933672, 177957.101149), (55265.127761, 174331.218888), (50637.830031, 177693.147512), (48728.000000, 183571.000036), (50282.070797, 188353.938090), (51961.228042, 190410.357447), (55637.830077, 193081.565170), (61818.169957, 193081.565159), (66818.169948, 189448.852517), (68728.000000, 183570.999928), (66903.933672, 177957.101149)))
00000	 17	 5.8739	 8.4787	 1.2000	 0.3524	 0.5966	 (((66037.651201, 78334.075432), (61829.169889, 75276.434819), (55648.830008, 75276.434853), (50648.830031, 78909.147512), (49844.048438, 81386.010606), (49481.300981, 87071.567521), (50648.830073, 90664.852546), (55648.830077, 94297.565170), (61829.169957, 94297.565159), (66829.169948, 90664.852517), (67954.570759, 87201.224965), (66037.651201, 78334.075432)))
00000	 34	 6.0637	 15.4637	 1.2000	 0.7659	 0.7447	 (((68780.749957, 160349.951310), (69730.808847, 157425.969595), (68516.455855, 149084.341287), (64727.567775, 146132.596715), (54921.399759, 153462.317951), (64746.456636, 161132.356233), (68780.749957, 160349.951310)))
00000	 50	 6.1942	 4.4817	 1.2000	 0.4780	 0.5535	 (((61219.726407, 35306.434840), (58851.830008, 35306.434853), (55860.473002, 37479.782955), (54140.185032, 38896.208769), (53417.769634, 41332.921871), (56877.497297, 52893.128449), (57904.282159, 53639.131314), (70325.710414, 49791.427855), (70843.474184, 48197.916387), (70681.336217, 45336.774459), (61219.726407, 35306.434840)))
00000	 45	 6.3363	 16.8693	 1.2000	 0.4246	 0.5228	 (((71453.169906, 162815.147425), (68211.947311, 160460.264060), (64746.456636, 161132.356233), (53688.119011, 167692.386594), (53363.000000, 168693.000036), (55187.066992, 174306.900925), (66825.870171, 177932.782602), (71453.169948, 174570.852517), (73363.000000, 168692.999928), (71453.169906, 162815.147425)))
00000	 28	 6.6222	 5.8634	 1.2000	 0.5195	 0.5799	 (((70259.719532, 49811.869923), (57838.289203, 53659.573299), (56222.000000, 58634.000036), (58131.830073, 64511.852546), (63131.830077, 68144.565170), (63802.677678, 68144.565168), (74456.713478, 53201.006788), (74312.169906, 52756.147425), (70259.719532, 49811.869923)))
00000	 29	 7.0672	 3.6582	 1.2000	 0.4737	 0.5859	 (((79936.028995, 34316.914136), (78762.169906, 30704.147425), (73762.169889, 27071.434819), (67581.830008, 27071.434853), (62581.830031, 30704.147512), (61120.600205, 35201.350552), (70681.336217, 45336.774459), (79936.028995, 34316.914136)))
00000	 16	 7.1973	 14.0086	 1.2000	 0.3916	 0.6169	 (((81934.461970, 139967.392070), (80063.169906, 134208.147425), (75063.169889, 130575.434819), (68882.830008, 130575.434853), (63882.830031, 134208.147512), (61973.000000, 140086.000036), (61989.194047, 140135.840188), (64727.567775, 146132.596715), (68516.455855, 149084.341287), (77088.997589, 145052.250471), (81934.461970, 139967.392070)))
00000	 8	 7.2005	 6.2757	 1.2000	 0.4986	 0.5864	 (((75095.169889, 53246.434819), (74424.322233, 53246.434823), (63770.287179, 68189.995265), (63914.830073, 68634.852546), (68914.830077, 72267.565170), (72073.034666, 72267.565164), (72679.935564, 72157.467137), (81021.799426, 65782.980225), (82005.000000, 62756.999928), (80095.169906, 56879.147425), (75095.169889, 53246.434819)))
00000	 47	 7.4414	 1.1691	 1.2000	 0.5460	 0.4066	 (((70880.934060, 2502.217597), (66323.830031, 5813.147512), (64414.000000, 11691.000036), (66323.830073, 17568.852546), (71323.830077, 21201.565170), (76716.843496, 21201.565160), (78408.026859, 9909.976804), (70880.934060, 2502.217597)))
00000	 41	 7.5350	 8.1196	 1.2000	 0.4560	 0.5565	 (((71254.127103, 72416.120791), (67259.830031, 75318.147512), (66134.432109, 78781.766217), (68051.352927, 87648.927558), (72259.830077, 90706.565170), (78440.169957, 90706.565159), (83440.169948, 87073.852517), (84312.390905, 84389.432433), (72679.935564, 72157.467137), (71254.127103, 72416.120791)))
00000	 39	 7.7652	 15.2160	 1.2000	 0.5958	 0.4944	 (((68675.675411, 149009.451033), (68558.190869, 149371.031278), (69850.405506, 158247.514870), (74561.830077, 161670.565170), (80742.169957, 161670.565159), (83965.802155, 159328.459267), (77088.997589, 145052.250471), (68675.675411, 149009.451033)))
00000	 35	 7.9306	 4.3833	 1.2000	 0.4708	 0.5857	 (((82396.169889, 34322.434819), (79931.391233, 34322.434833), (70681.336217, 45336.774459), (70868.661389, 48642.378410), (71215.830073, 49710.852546), (76215.830077, 53343.565170), (82396.169957, 53343.565159), (87336.559323, 49754.162171), (83283.834694, 34967.361043), (82396.169889, 34322.434819)))
00000	 15	 8.0125	 0.5888	 1.2000	 0.7186	 0.5554	 (((71141.731457, 2758.822326), (78408.026859, 9909.976804), (89502.568013, 7367.645401), (90015.521967, 6225.271998), (90125.000000, 5887.999928), (88215.169906, 10.147425), (88201.209467, 0.004572), (72048.790470, 0.004659), (72034.830031, 10.147512), (71141.731457, 2758.822326)))
00000	 10	 8.1573	 7.5278	 1.2000	 0.6075	 0.4542	 (((81042.142046, 65767.434839), (72679.935564, 72157.467137), (84680.198053, 84776.193523), (89359.741981, 81376.305840), (83971.275677, 65767.434823), (81042.142046, 65767.434839)))
00000	 18	 8.1705	 1.2783	 1.2000	 0.6632	 0.7257	 (((76755.607145, 20942.760648), (78614.830077, 22293.565170), (84795.169957, 22293.565159), (89024.816803, 19220.546840), (89502.568013, 7367.645401), (78408.026859, 9909.976804), (76755.607145, 20942.760648)))
00000	 9	 8.2296	 14.9923	 1.2000	 0.5379	 0.6889	 (((81510.382437, 140412.434840), (77088.997589, 145052.250471), (84016.426359, 159433.565161), (85386.169957, 159433.565159), (90386.169948, 155800.852517), (92296.000000, 149922.999928), (90386.169906, 144045.147425), (85386.169889, 140412.434819), (81510.382437, 140412.434840)))
00000	 44	 8.2352	 10.5298	 1.2000	 0.4124	 0.6137	 (((79261.830008, 95787.434853), (74261.830031, 99420.147512), (72352.000000, 105298.000036), (74261.830073, 111175.852546), (79261.830077, 114808.565170), (85442.169957, 114808.565159), (90442.169948, 111175.852517), (91310.800800, 108502.481641), (81644.164652, 95787.434840), (79261.830008, 95787.434853)))
00000	 24	 8.8530	 19.0500	 1.2000	 0.3403	 0.5862	 (((91620.169889, 180989.434819), (85439.830008, 180989.434853), (80439.830031, 184622.147512), (78530.000000, 190500.000036), (80439.830073, 196377.852546), (85425.279760, 199999.993746), (91634.720274, 199999.993735), (96620.169948, 196377.852517), (98530.000000, 190500.000000), (96620.169906, 184622.147425), (91620.169889, 180989.434819)))
00000	 32	 9.0619	 9.9013	 1.2000	 0.4207	 0.6423	 (((98709.169948, 104890.852517), (100619.000000, 99012.999928), (98838.303820, 93532.580738), (91703.497381, 89502.434830), (87528.830008, 89502.434853), (82528.830031, 93135.147512), (81660.197857, 95808.522489), (91326.824316, 108523.565163), (93709.169957, 108523.565159), (98709.169948, 104890.852517)))
00000	 6	 9.1226	 4.0566	 1.2000	 0.4877	 0.5350	 (((99316.169948, 46443.852517), (101226.000000, 40565.999928), (100620.527255, 38702.546471), (85546.776119, 32936.492629), (83195.439286, 34644.838853), (87248.166285, 49431.639678), (88135.830077, 50076.565170), (94316.169957, 50076.565159), (99316.169948, 46443.852517)))
00000	 42	 9.1726	 7.1773	 1.2000	 0.4518	 0.3304	 (((83939.259859, 65674.692835), (89327.726764, 81283.565168), (89902.290601, 81283.565167), (100910.829895, 74281.835615), (101726.000000, 71772.999928), (99816.169906, 65895.147425), (94816.169889, 62262.434819), (88635.830008, 62262.434853), (83939.259859, 65674.692835)))
00000	 31	 9.4868	 3.1045	 1.2000	 0.4225	 0.7234	 (((104868.000000, 31044.999928), (102958.169906, 25167.147425), (99453.681592, 22620.987659), (91504.060185, 21733.340274), (86777.830031, 25167.147512), (84868.000000, 31045.000036), (85473.471540, 32908.449807), (100547.217105, 38674.512294), (102958.169948, 36922.852517), (104868.000000, 31044.999928)))
00000	 7	 9.6839	 1.3393	 1.2000	 0.3675	 0.5772	 (((89769.082370, 6774.104966), (89502.568013, 7367.645401), (89014.733977, 19464.043040), (92253.364110, 21817.045552), (100202.890917, 22704.695240), (104929.169948, 19270.852517), (106839.000000, 13392.999928), (104929.169906, 7515.147425), (99929.169889, 3882.434819), (93748.830008, 3882.434853), (89769.082370, 6774.104966)))
00000	 27	 9.9289	 8.3664	 1.2000	 0.3767	 0.4452	 (((102379.169889, 74153.434819), (101112.970754, 74153.434826), (90104.048014, 81155.540148), (89289.000000, 83664.000036), (91069.647901, 89144.270705), (98204.292089, 93174.565166), (102379.169957, 93174.565159), (107379.169948, 89541.852517), (109289.000000, 83663.999928), (107379.169906, 77786.147425), (102379.169889, 74153.434819)))
00001	 48	 0.3874	 13.8096	 1.2000	 0.5179	 0.4667	 (((11964.169906, 132218.147425), (11031.869069, 131540.947967), (-0.001082, 131064.346702), (0.020552, 147037.094219), (783.830077, 147606.565170), (6964.169957, 147606.565159), (11964.169948, 143973.852517), (13066.321230, 140581.779658), (12529.972993, 133959.510230), (11964.169906, 132218.147425)))
00001	 2	 0.4466	 12.4393	 1.2000	 0.4834	 0.8644	 (((12556.169948, 130270.852517), (14466.000000, 124392.999928), (12556.169906, 118515.147425), (7556.169889, 114882.434819), (1375.830008, 114882.434853), (0.020491, 115882.018987), (-0.014230, 131064.346134), (10820.636873, 131531.822267), (12556.169948, 130270.852517)))
00001	 3	 1.2922	 9.9201	 1.2000	 0.3403	 0.8035	 (((22922.000000, 99201.000000), (21012.169906, 93323.147425), (16012.169889, 89690.434819), (9831.830008, 89690.434853), (4831.830031, 93323.147512), (2922.000000, 99201.000036), (4831.830073, 105078.852546), (9831.830077, 108711.565170), (16012.169957, 108711.565159), (21012.169948, 105078.852517), (22922.000000, 99201.000000)))
00001	 30	 1.5006	 16.0638	 1.2000	 0.3465	 0.5180	 (((11915.830077, 170148.565170), (13395.208456, 170148.565167), (21205.172581, 167889.742528), (23096.169948, 166515.852517), (25006.000000, 160637.999928), (23096.169906, 154760.147425), (18096.169889, 151127.434819), (11915.830008, 151127.434853), (6915.830031, 154760.147512), (5006.000000, 160638.000036), (6915.830073, 166515.852546), (11915.830077, 170148.565170)))
00001	 22	 1.6969	 18.9326	 1.2000	 0.3979	 0.7440	 (((25577.053205, 185042.028293), (11358.813576, 181646.333980), (8878.830031, 183448.147512), (6969.000000, 189326.000036), (8878.830073, 195203.852546), (13878.830077, 198836.565170), (20059.169957, 198836.565159), (22991.664014, 196706.075526), (26819.400550, 188866.023855), (25577.053205, 185042.028293)))
00001	 37	 1.7862	 3.5736	 1.2000	 0.3403	 0.7200	 (((27862.000000, 35736.000000), (25952.169906, 29858.147425), (20952.169889, 26225.434819), (14771.830008, 26225.434853), (9771.830031, 29858.147512), (7862.000000, 35736.000036), (9771.830073, 41613.852546), (14771.830077, 45246.565170), (20952.169957, 45246.565159), (25952.169948, 41613.852517), (27862.000000, 35736.000000)))
00001	 21	 1.8600	 6.1652	 1.2000	 0.4447	 0.3537	 (((21690.169889, 52141.434819), (15509.830008, 52141.434853), (10509.830031, 55774.147512), (8600.000000, 61652.000036), (10509.830073, 67529.852546), (15509.830077, 71162.565170), (21690.169957, 71162.565159), (23410.065498, 69912.987902), (22030.234624, 52388.506309), (21690.169889, 52141.434819)))
00001	 1	 1.9834	 17.7331	 1.2000	 0.3967	 0.7642	 (((11743.830031, 171453.147512), (9834.000000, 177331.000036), (11225.823948, 181614.593639), (25444.211542, 185010.647771), (27924.169948, 183208.852517), (29834.000000, 177330.999928), (27924.169906, 171453.147425), (22924.169889, 167820.434819), (21444.806521, 167820.434827), (13634.824026, 170079.259941), (11743.830031, 171453.147512)))
00001	 11	 2.1739	 13.6649	 1.2000	 0.4189	 0.4556	 (((18648.830008, 127138.434853), (13648.830031, 130771.147512), (12546.584223, 134163.511334), (13082.908943, 140785.126419), (13648.830073, 142526.852546), (18648.830077, 146159.565170), (24829.169957, 146159.565159), (29829.169948, 142526.852517), (30889.312732, 139264.068519), (20291.847536, 127138.434844), (18648.830008, 127138.434853)))
00001	 12	 2.6868	 6.1001	 1.2000	 0.4447	 0.5925	 (((23777.830008, 51490.434853), (22057.924688, 52740.019224), (23437.753233, 70264.484881), (23777.830077, 70511.565170), (29958.169957, 70511.565159), (34958.169948, 66878.852517), (36868.000000, 61000.999928), (34958.169906, 55123.147425), (29958.169889, 51490.434819), (23777.830008, 51490.434853)))
00001	 23	 2.9523	 12.9846	 1.2000	 0.5628	 0.4322	 (((39523.000000, 129845.999928), (38246.309600, 125916.750992), (21134.196185, 124887.247996), (20372.686904, 127230.932605), (30970.151536, 139356.565161), (32613.169957, 139356.565159), (37613.169948, 135723.852517), (39523.000000, 129845.999928)))
00001	 13	 3.0057	 12.0970	 1.2000	 0.4357	 0.7429	 (((21333.690376, 124899.248945), (38445.804294, 125928.750506), (40057.000000, 120969.999928), (38147.169906, 115092.147425), (33147.169889, 111459.434819), (26966.830008, 111459.434853), (21966.830031, 115092.147512), (20057.000000, 120970.000036), (21333.690376, 124899.248945)))
00001	 33	 3.2515	 19.6916	 1.2000	 0.5840	 0.7416	 (((22664.542867, 197376.092041), (23517.076822, 199999.996125), (39285.615965, 200000.007926), (38123.453309, 189235.201432), (35605.169889, 187405.434819), (29424.830008, 187405.434853), (26492.255564, 189536.089197), (22664.542867, 197376.092041)))
00001	 4	 3.8462	 1.6933	 1.2000	 0.4179	 0.6774	 (((41552.169889, 7422.434819), (35371.830008, 7422.434853), (30371.830031, 11055.147512), (28462.000000, 16933.000036), (30371.830073, 22810.852546), (35371.830077, 26443.565170), (36591.118818, 26443.565167), (44197.688095, 22840.587297), (45268.922788, 18960.903978), (42451.154777, 8075.333661), (41552.169889, 7422.434819)))
00001	 14	 4.1402	 8.3648	 1.2000	 0.3428	 0.7460	 (((50712.595139, 81526.229985), (49492.169906, 77770.147425), (44492.169889, 74137.434819), (38311.830008, 74137.434853), (33311.830031, 77770.147512), (31402.000000, 83648.000036), (33311.830073, 89525.852546), (38311.830077, 93158.565170), (44492.169957, 93158.565159), (49492.169948, 89525.852517), (50378.650031, 86797.547357), (50712.595139, 81526.229985)))
00001	 38	 4.5135	 3.1021	 1.2000	 0.7364	 0.5685	 (((36627.973312, 26426.100589), (35135.000000, 31021.000036), (36593.778047, 35510.657166), (49256.691108, 35155.845481), (47783.546564, 25281.600964), (44197.688095, 22840.587297), (36627.973312, 26426.100589)))
00001	 49	 4.5242	 19.5542	 1.2000	 0.5013	 0.8513	 (((38095.758516, 188978.671855), (39285.615544, 200000.004022), (53793.509136, 199999.996474), (55242.000000, 195541.999928), (54014.915011, 191765.420747), (50068.805423, 187293.174374), (48332.169889, 186031.434819), (42151.830008, 186031.434853), (38095.758516, 188978.671855)))
00001	 25	 4.5373	 3.9515	 1.2000	 0.6344	 0.6209	 (((35373.000000, 39515.000036), (37282.830073, 45392.852546), (39227.926073, 46806.047504), (53912.593456, 41762.748223), (54617.170805, 38884.017711), (49256.691108, 35155.845481), (36674.827592, 35508.386633), (35373.000000, 39515.000036)))
00001	 5	 4.8556	 4.8783	 1.2000	 0.4557	 0.6867	 (((39194.636285, 46817.479628), (38556.000000, 48783.000036), (40465.830073, 54660.852546), (45465.830077, 58293.565170), (51646.169957, 58293.565159), (56646.169948, 54660.852517), (57566.205690, 51829.273658), (53912.593456, 41762.748223), (39194.636285, 46817.479628)))
00001	 43	 5.0223	 15.5738	 1.2000	 0.5377	 0.4554	 (((46508.970405, 146680.695390), (42132.830031, 149860.147512), (40223.000000, 155738.000036), (42132.830073, 161615.852546), (47132.830077, 165248.565170), (50972.843417, 165248.565163), (55523.175587, 153669.419144), (46508.970405, 146680.695390)))
00001	 20	 5.0237	 1.3885	 1.2000	 0.5467	 0.6001	 (((42388.088662, 7831.697340), (45268.922788, 18960.903978), (59923.092174, 14851.108950), (60237.000000, 13884.999928), (58327.169906, 8007.147425), (53327.169889, 4374.434819), (47146.830008, 4374.434853), (42388.088662, 7831.697340)))
00001	 40	 5.1992	 2.9998	 1.2000	 0.7024	 0.9408	 (((60530.921961, 25501.264204), (47783.546564, 25281.600964), (49256.691108, 35155.845481), (54617.170805, 38884.017711), (60596.915913, 34291.627332), (61992.000000, 29997.999928), (60530.921961, 25501.264204)))
00001	 19	 5.2152	 2.0713	 1.2000	 0.7206	 0.7913	 (((62152.000000, 20712.999928), (60242.169906, 14835.147425), (60169.001167, 14781.987225), (45268.922788, 18960.903978), (44197.688095, 22840.587297), (47783.546564, 25281.600964), (60595.834885, 25502.383762), (62152.000000, 20712.999928)))
00001	 46	 5.6206	 14.8021	 1.2000	 0.5502	 0.7721	 (((65015.067050, 145247.264765), (63098.922890, 141273.296563), (59296.169889, 138510.434819), (53115.830008, 138510.434853), (48115.830031, 142143.147512), (46614.825556, 146762.764335), (55523.175587, 153669.419144), (57246.825851, 153382.837486), (65015.067050, 145247.264765)))
00001	 26	 5.7997	 15.8793	 1.2000	 0.9731	 0.4767	 (((50912.684988, 165401.648915), (53779.477322, 167484.495453), (65144.997272, 161342.579754), (57246.825851, 153382.837486), (55523.175587, 153669.419144), (50912.684988, 165401.648915)))
00001	 36	 5.8854	 18.3531	 1.2000	 0.3625	 0.6093	 (((67033.532423, 177928.176966), (55299.546468, 174357.756593), (50763.830031, 177653.147512), (48854.000000, 183531.000036), (50080.997786, 187307.310880), (54027.957235, 191780.379733), (55763.830077, 193041.565170), (61944.169957, 193041.565159), (66944.169948, 189408.852517), (68854.000000, 183530.999928), (67033.532423, 177928.176966)))
00001	 17	 5.9681	 8.4806	 1.2000	 0.3511	 0.7375	 (((67108.969233, 78447.030480), (62771.169889, 75295.434819), (56590.830008, 75295.434853), (51590.830031, 78928.147512), (50704.347694, 81656.459642), (50370.402858, 86927.763839), (51590.830073, 90683.852546), (56590.830077, 94316.565170), (62771.169957, 94316.565159), (67771.169948, 90683.852517), (68923.611855, 87137.001028), (67108.969233, 78447.030480)))
00001	 50	 6.2525	 4.3713	 1.2000	 0.4822	 0.7109	 (((62309.175720, 34202.434837), (60713.051146, 34202.434846), (54617.170805, 38884.017711), (53912.593456, 41762.748223), (57584.271850, 51879.055924), (58818.968149, 52776.115290), (70670.834068, 49419.535970), (71029.807120, 48314.732215), (71060.449769, 45320.157426), (62309.175720, 34202.434837)))
00001	 34	 6.2651	 15.4175	 1.2000	 0.7361	 0.8532	 (((69241.247026, 161142.611566), (70590.143689, 160162.579517), (69953.053670, 148758.130155), (65015.067050, 145247.264765), (57246.825851, 153382.837486), (65144.997272, 161342.579754), (69241.247026, 161142.611566)))
00001	 45	 6.3361	 16.8719	 1.2000	 0.4315	 0.7146	 (((71451.169906, 162841.147425), (69121.385542, 161148.462890), (65144.997272, 161342.579754), (53758.417068, 167495.876051), (53361.000000, 168719.000036), (55181.468029, 174321.824458), (66915.452123, 177892.244419), (71451.169948, 174596.852517), (73361.000000, 168718.999928), (71451.169906, 162841.147425)))
